Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
545,tt23804378,Three of Us,2022, ,"A delicate thread of emotions about love, loss, healing, awareness and liberation.",Avinash Arun,"Shefali Shah, Jaideep Ahlawat, Swanand Kirkire, Kadambari Kadam",https://m.media-amazon.com/images/M/MV5BZWMzNWJlOGQtMzQwOC00YWRmLThhOTctOTZmNjgxZGFlNGUwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.5,4154
546,tt0991346,Bhootnath,2008,"Comedy, Drama, Family","Moving into a new house, a family witnesses an unfriendly ghost who wants to drive them away from the house. However, he befriends a little boy who changes his outlook forever.",Vivek Sharma,"Amitabh Bachchan, Juhi Chawla, Satish Shah, Rajpal Naurang Yadav",https://m.media-amazon.com/images/M/MV5BOTQ4NmM4YzEtZGUxNy00MmQ5LTg5NzUtMDJjMGQ3ZWRlYjJiXkEyXkFqcGc@._V1_.jpg,6.4,11316
547,tt6531196,Ascharyachakit!,2018,"Drama, Romance","Desire and greed intertwines the lives of a Bollywood star, his chauffeur, a prostitute and her pimp in an unlikely love story.",Samit Kakkad,"Priyanka Bose, Vaibhav Raj Gupta, Ankit Raj, Anangsha Biswas",https://m.media-amazon.com/images/M/MV5BYzM3NTVmYmYtYzU2ZS00MTczLWI0NWEtNmUwYjg2NGZlMTIwXkEyXkFqcGc@._V1_.jpg,5,1047
548,tt1841542,Chillar Party,2011,"Comedy, Drama, Family",A gang of innocent but feisty kids who lead carefree lives in Chandan Nagar colony takes on the big bad world of politics when one of their friend's life is endangered.,"Vikas Bahl, Nitesh Tiwari","Irfan Khan, Abhinay Raj Singh, Sanath Menon, Rohan Grover",https://m.media-amazon.com/images/M/MV5BOGUxMGUyODEtYjcyNi00YjBiLTk1ZDgtMDEyYTUyNzA1OTQ4XkEyXkFqcGc@._V1_.jpg,7.5,8962
549,tt16915334,Chakda Xpress,2023,"Biography, Drama, Sport",It is inspired by the journey of Jhulan Goswami as she moves up the ladder despite the problems created by misogynistic politics to fulfill her dream of playing cricket for India,Prosit Roy,"Anushka Sharma, Anshul Chauhan, Dibyendu Bhattacharya, Nishu Dikshit",https://m.media-amazon.com/images/M/MV5BNjNlZWNiMTYtMmMxMy00M2I1LTk5MjMtZGQwYTcyNDRhOTEyXkEyXkFqcGc@._V1_.jpg,,
550,tt1667838,I Hate Luv Storys,2010,"Comedy, Drama, Romance","Jay doesn't believe in love Stories, and Simran, is a girl who's in love with the idea of Love itself.",Punit Malhotra,"Imran Khan, Sonam Kapoor, Sammir Dattani, Samir Soni",https://m.media-amazon.com/images/M/MV5BYTA5ZmQwZDEtZTczZC00ZDQ2LTg5ZTgtOGE2ZWVkZTA2N2Y4XkEyXkFqcGc@._V1_.jpg,5.7,8814
551,tt0315642,Wazir,2016,"Action, Crime, Drama",A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, John Abraham",https://m.media-amazon.com/images/M/MV5BMTUzNDU4NDMyOV5BMl5BanBnXkFtZTgwNjcyNzU0NzE@._V1_.jpg,7.1,19949
552,tt1146325,Singh Is Kinng,2008,"Action, Comedy, Crime","A comic caper about Happy Singh, a Punjabi villager who goes through a series of misadventures and eventually becomes the King of the Australian underworld.",Anees Bazmee,"Akshay Kumar, Katrina Kaif, Om Puri, Kirron Kher",https://m.media-amazon.com/images/M/MV5BZDZlMGYxYTktZTRkYS00YTZlLThlYzYtODEzODIwZTE3NWNiXkEyXkFqcGc@._V1_.jpg,5.8,16830
553,tt2556308,Holiday,2014,"Action, Crime, Thriller","A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Freddy Daruwala, Sumeet Raghavan",https://m.media-amazon.com/images/M/MV5BNTUzZDBiOWEtMGM3MC00OWFiLWFiNDgtYjIxYWZjZWQ0Mjg5XkEyXkFqcGc@._V1_.jpg,7.2,30276
554,tt10534500,#Home,2021,Drama,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen",https://m.media-amazon.com/images/M/MV5BNWU1ZmNlYTctYmY1My00ZDlmLTk3M2EtZDcxY2E1ZGU0N2YzXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg,8.8,15706
555,tt7529298,Attack,2022,"Action, Sci-Fi, Thriller",Witness the rise of an army soldier as he realizes his destiny and comes to terms to becoming India's first super soldier created to combat terrorists as he fights his inner demons and outer enemies.With lots of action,Lakshya Raj Anand,"John Abraham, Jacqueline Fernandez, Rakul Preet Singh, Prakash Raj",https://m.media-amazon.com/images/M/MV5BZWYzNDcxNjQtNDZjNS00M2U3LTlkOTItNDc4NzhkMjYxNzFkXkEyXkFqcGc@._V1_.jpg,6.8,16718
556,tt13534808,Janhit Mein Jaari,2022,"Comedy, Drama, Romance","The story of a young girl, a crusader who takes up a challenging job selling condoms in a small town in MP, India.",Jai Basantu Singh,"Nushrratt Bharuccha, Vijay Raaz, Alok Nath Pathak, Tinnu Anand",https://m.media-amazon.com/images/M/MV5BNGU2ZTEyNjEtMGRjMS00YzE3LWFmOWMtMzM2NDZlMjQwY2EyXkEyXkFqcGc@._V1_.jpg,6.8,7980
557,tt0246729,Khiladiyon Ka Khiladi,1996,"Action, Crime, Drama",A man (Akshay Kumar) searches for his missing brother (Inder Kumar) who is also wanted by the police.,Umesh Mehra,"Akshay Kumar, Rekha, Raveena Tandon, Deven Verma",https://m.media-amazon.com/images/M/MV5BYTFlZWE2MWYtMzFmZC00MjYxLWIyMTEtMjVhMmU4NTM2MmNjXkEyXkFqcGc@._V1_.jpg,6,6439
558,tt8361196,Vinaya Vidheya Rama,2019,"Action, Drama","When the happiness of his family is held to ransom by a violent crime lord, Ram sets out on a quest to destroy his nemesis and his criminal empire.",Boyapati Srinu,"Ram Charan, Vivek Oberoi, Kiara Advani, Mahesh Manjrekar",https://m.media-amazon.com/images/M/MV5BZmM0NGVjOTctNDhlOC00ZTU1LWE1OTItYjcyYWIwYzUzNDJhXkEyXkFqcGc@._V1_.jpg,3.3,4050
559,tt5325684,Hate Story IV,2018,"Crime, Drama, Thriller","Aryan and Rajveer, sons of a wealthy businessman, Vikram Khurana, fall in love with the same woman, Tasha. Not only do they commit a deed they cannot undo but also end up as targets in a revenge plan.",Vishal Pandya,"Urvashi Rautela, Gulshan Grover, Lee Byford, Komal Chhabria",https://m.media-amazon.com/images/M/MV5BMTRkODNjNjgtMzdiZS00YWQxLTg1MzMtYTc1ZTYxZGMyNjhlXkEyXkFqcGc@._V1_.jpg,3.4,1890
560,tt3410408,Rocky Handsome,2016,"Action, Crime, Drama",A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,Nishikant Kamat,"John Abraham, Nishikant Kamat, Sharad Kelkar, Teddy Maurya",https://m.media-amazon.com/images/M/MV5BNTc3ZjBlNTctZmMwOC00YmZhLTg3ZDItOWIzN2U3ZDBmZGUzXkEyXkFqcGc@._V1_.jpg,6.8,9029
561,tt0845448,Dhamaal,2007,"Action, Adventure, Comedy","Four lazy slacker conmen buddies who are jobless, homeless and broke learn about the secret of a hidden treasure from a dying thief and later embark on a race against time to find the mobster's buried treasure and claim it while being pursued by a determined police inspector who is hellbent to get the treasure all by himself.",Indra Kumar,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Jaaved Jaaferi",https://m.media-amazon.com/images/M/MV5BZWU3OTEzODgtMWY4OS00N2NkLWJlNGQtMWZhZDJmODQwN2E5XkEyXkFqcGc@._V1_.jpg,7.5,19195
562,tt4430136,Pyaar Ka Punchnama 2,2015,"Comedy, Drama, Romance","After falling in love, three roommates experience changes in their lives.",Luv Ranjan,"Kartik Aaryan, Omkar Kapoor, Sunny Singh, Nushrratt Bharuccha",https://m.media-amazon.com/images/M/MV5BMTcxNDY5NjA5NV5BMl5BanBnXkFtZTgwNjcyMTk5NjE@._V1_.jpg,7.2,16337
563,tt15482442,Untitled Blumhouse Productions Film,2024, ,Add a Plot,Luv Ranjan,"Kartik Aaryan, Omkar Kapoor, Sunny Singh, Nushrratt Bharuccha",Not Available,,
564,tt0233422,Chachi 420,1997,"Comedy, Drama, Family",Desperation to be with his only child forces a divorced man to take the guise of the child's nanny. Situations get really messy when the child's grandfather (the man's ex-father-in-law) falls in love with his disguised ex-son-in-law.,Kamal Haasan,"Kamal Haasan, Amrish Puri, Om Puri, Tabu",https://m.media-amazon.com/images/M/MV5BNTFmZjczODYtZTlmMy00N2FmLWE1NjEtNzZkMzgwODMxMzUzXkEyXkFqcGc@._V1_.jpg,7.4,13904
565,tt0346723,Chalte Chalte,2003,"Drama, Romance",A man pursues a woman who is already engaged and eventually gets married to her. Differences between the two lead to a bitter separation that threatens to destroy their relationship forever.,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah",https://m.media-amazon.com/images/M/MV5BYzU4MjI2MjctMzExMC00NTAxLWFjZWMtODk2YzVjMzhkZmU2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,6.5,16726
566,tt5255710,Sanam Teri Kasam,2016,"Drama, Musical, Romance","After being disowned by her family, an awkward librarian relies on the help of her brooding neighbour.","Radhika Rao, Vinay Sapru","Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murli Sharma",https://m.media-amazon.com/images/M/MV5BYTJmYmI0YWQtYjI3MC00MWU4LWI2OTQtNDYyOGEyNThjZjg3XkEyXkFqcGc@._V1_.jpg,7.6,20965
567,tt0448206,Bunty Aur Babli,2005,"Comedy, Crime, Drama","A small-town pair become the legendary Bunty and Babli, turning the world on its head caper after caper--until they meet a very upset police officer.",Shaad Ali,"Abhishek Bachchan, Rani Mukerji, Amitabh Bachchan, Kiran Juneja",https://m.media-amazon.com/images/M/MV5BOGQ1MjI3YjEtYzFlMC00NTFhLTllZGUtZWMzMTBiOGQxMjRkXkEyXkFqcGc@._V1_.jpg,6.2,8214
568,tt1395025,Agent Vinod,2012,"Action, Adventure, Thriller",A series of seemingly unconnected events across the world leads to Agent Vinod undertaking a globe-trotting mission to discover why his colleague was murdered.,Sriram Raghavan,"Kareena Kapoor, Saif Ali Khan, Adil Hussain, Ram Kapoor",https://m.media-amazon.com/images/M/MV5BNTUwODA5MGEtMjQ0NS00ZGM4LWJiYjItZTZjNzI4OTBlZThhXkEyXkFqcGc@._V1_.jpg,5.2,8232
569,tt4387040,Airlift,2016,"Action, Drama, History","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi",https://m.media-amazon.com/images/M/MV5BYjNjMGEzNTUtOTJmMC00OGJkLThhOWYtZmUzYTk3ZWY4MmVmXkEyXkFqcGc@._V1_.jpg,7.9,58813
570,tt5456546,Judwaa 2,2017,"Action, Comedy",Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.,David Dhawan,"Varun Dhawan, Jacqueline Fernandez, Taapsee Pannu, Anupam Kher",https://m.media-amazon.com/images/M/MV5BMjExNDQ3ODI3N15BMl5BanBnXkFtZTgwMTUwNTEzMzI@._V1_.jpg,3.7,11648
571,tt28290264,Untitled Aamir khan/Rajkumar Hirani movie,,Biography,Add a Plot,Rajkumar Hirani,Aamir Khan,Not Available,,
572,tt0356982,Paanch,2003,"Crime, Thriller",Kidnapping plot gone wrong when four friends plans to kidnap their own friend who accidentally got killed.,Anurag Kashyap,"Kay Kay Menon, Aditya Srivastav, Joy Fernandes, Vijay Maurya",https://m.media-amazon.com/images/M/MV5BMDkzNTdiNmUtOWE2NS00MGQ3LWE0OGQtMjhhMzJhMDUxNDJlXkEyXkFqcGc@._V1_.jpg,7.6,2547
573,tt2077833,Rowdy Rathore,2012,"Action, Comedy, Crime","A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",Prabhu Deva,"Akshay Kumar, Sonakshi Sinha, Nassar, Yashpal Sharma",https://m.media-amazon.com/images/M/MV5BODAyMzQyNWItYzg3YS00YTRjLWIwODAtNTc3MWE1MTgyNGNkXkEyXkFqcGc@._V1_.jpg,5.8,23893
574,tt13912632,Sanak,2021,"Action, Thriller","Sanak is an action-thriller film, summarizing the emotion and journey of a lone hero, who fights overwhelming odds in a restricted environment, to save his wife and other unfortunates, helpless hostages, from the perils of evil.",Kanishk Varma,"Vidyut Jammwal, Neha Dhupia, Rukmini Maitra, Chandan Roy Sanyal",https://m.media-amazon.com/images/M/MV5BNWRlNWYyMzMtMmQyMC00MGJhLTliYjEtMGRiNDA1N2MwZmE0XkEyXkFqcGc@._V1_.jpg,6.6,11103
575,tt15416100,Visfot,2023,"Crime, Thriller","Worli, Mumbai. Two families. One has recently moved into one of the high-rises of Lower Parel, what was once known as the Cotton Mill district. The other lives a crammed life in a slum, ...                See full summary »",Kookie Gulati,"Riddhi Dogra, Priya Bapat, Riteish Deshmukh, Fardeen Khan",https://m.media-amazon.com/images/M/MV5BNjEwZjZhYjQtOTE0MS00YzNlLThhZDUtNjdhOGFhMTlhZjE5XkEyXkFqcGc@._V1_.jpg,5.7,1131
576,tt6964940,Skater Girl,2021,"Drama, Family, Sport","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",Manjari Makijany,"Waheeda Rehman, Amy Maghera, Sahidur Rahaman, Jonathan Readwin",https://m.media-amazon.com/images/M/MV5BODQ4Mjg2N2QtNTYwMS00ZDJiLTgzZjAtNjA3YmZlMzVmNjQ4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,6.7,4928
577,tt0405266,Raincoat,2004,"Drama, Romance","All he wanted was to see her just once. Manu was from a village in the backwoods. Neeru was the girl next door, his lost love.",Rituparno Ghosh,"Ajay Devgn, Aishwarya Rai Bachchan, Annu Kapoor, Mouli Ganguly",https://m.media-amazon.com/images/M/MV5BOTQ0YTk2YWQtYTA2ZS00NDViLTgwNzYtOTRkN2NkNzM5MzBlXkEyXkFqcGc@._V1_.jpg,7.7,5270
578,tt0405507,Murder,2004,"Drama, Romance, Thriller","Unhappy with her marriage with workaholic man, a woman finds solace in her lover and starts a steamy affair. But this fills her with guilt and leaves him, but he is determined to get her - at any cost.",Anurag Basu,"Mallika Sherawat, Ashmit Patel, Emraan Hashmi, Kashmira Shah",https://m.media-amazon.com/images/M/MV5BMTU4ZTQyN2UtOTg3YS00YjNmLThjNGUtZjM4NTBiZjcyZmI1XkEyXkFqcGc@._V1_.jpg,5.5,4506
579,tt0272736,Mujhse Dosti Karoge!,2002,"Comedy, Drama, Family","Meet Raj, Pooja and Tina - 3 best friends thrown into a situation that time, letters, love and separation have created for them.",Kunal Kohli,"Hrithik Roshan, Kareena Kapoor, Rani Mukerji, Uday Chopra",https://m.media-amazon.com/images/M/MV5BNzQwZjA4YzgtMDI4Zi00Y2Q4LThjYmYtZTVhMGRhMGU5MzU5XkEyXkFqcGc@._V1_.jpg,5.1,6510
580,tt5632164,Veerappan,2016,"Action, Biography, Crime","Officer Kannan leads a group of police officers to track down the bandit, Veerappan.",Ram Gopal Varma,"Sachiin Joshi, Sandeep Bharadwaj, Usha Jadhav, Nissar Khan",https://m.media-amazon.com/images/M/MV5BZjNmYzkxNzMtODY4NS00NjBlLWFkMTUtOTRhNzhmNGIzNzQ3XkEyXkFqcGc@._V1_.jpg,5.3,917
581,tt4874298,Madly,2016,"Drama, Romance",A global anthology film featuring innovative love stories from the some of the world's most visionary directors.,"Bat for Lashes, Gael García Bernal, Anurag Kashyap, Sebastián Silva, Sion Sono, Mia Wasikowska","Radhika Apte, Kathryn Beck, Justina Bustos, Zoë Castle",https://m.media-amazon.com/images/M/MV5BMjAwNTQ0NzA4NF5BMl5BanBnXkFtZTgwMTM0MDE5NjE@._V1_.jpg,5.4,257
582,tt17425020,One Friday Night,2023,"Crime, Drama","Revolves around one stormy night, in an isolated villa a top a secluded hill.",Manish Gupta,"Vidhi Chitalia, Hemant K Gaur, Ambrish Saxena, Milind Soman",https://m.media-amazon.com/images/M/MV5BZDEwNTM5ODUtYjZiNS00NDlkLWIyNTEtZDdjNzdlODUxYTY0XkEyXkFqcGc@._V1_.jpg,5,531
583,tt7363104,Khuda Haafiz,2020,"Action, Crime, Drama",A newly married couple's life falls in jeopardy when the wife goes missing under mysterious circumstances.,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Aahana Kumra",https://m.media-amazon.com/images/M/MV5BMmUwNjU2NTMtMTk3OS00MTljLWIxZTgtNzg5MGZiYzAyYzUwXkEyXkFqcGc@._V1_.jpg,7.1,21659
584,tt3859980,Mohenjo Daro,2016,"Action, Adventure, Drama","In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",Ashutosh Gowariker,"Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh",https://m.media-amazon.com/images/M/MV5BNmYxZGNjMzQtZWY1Yy00ODMxLTg0ODktOTQ4OTZkZWFlNmFmXkEyXkFqcGc@._V1_.jpg,5.6,12744
585,tt9766332,Atrangi Re,2021,"Comedy, Drama, Fantasy","A Tamil boy meets a girl from Bihar, what follows is a love story for the ages. A non-linear narrative of two romances running in parallel from different timelines.",Aanand L. Rai,"Dhanush, Sara Ali Khan, Akshay Kumar, Seema Biswas",https://m.media-amazon.com/images/M/MV5BOWU2MjRlZTYtMTA3MC00ZWFiLTlkYTMtZTJmMzM4MjQ0NjU2XkEyXkFqcGc@._V1_.jpg,6.5,28611
586,tt1708453,Aakrosh,2010,"Action, Crime, Drama","The Central Bureau of Investigation deputes two officers to investigate the disappearance of three medical students, which they believe to be an incident of 'honour killing' in a small, closed community.",Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu, Paresh Rawal",https://m.media-amazon.com/images/M/MV5BY2FlOGFjOGUtN2QzNy00NTA4LWE3NGMtMWMyOWM0N2ZlOWJiXkEyXkFqcGc@._V1_.jpg,7,4255
587,tt0098999,Agneepath,1990,"Action, Crime, Drama","A young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. Can he find vengeance and redemption?",Mukul Anand,"Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari",https://m.media-amazon.com/images/M/MV5BOGIyNGNhN2EtYTZiNC00MDJjLWI2M2ItZjA1MTBlYmNiODNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,7.6,9522
588,tt0120540,Yes Boss,1997,"Comedy, Drama, Musical","Rahul Joshi wants to be a successful businessman so he works hard for his boss Siddharth. One day Rahul meets Seema, an up and coming model, and he feels like he's finally met his match. Will Seema fall for Rahul?",Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Aditya Pancholi, Kashmira Shah",https://m.media-amazon.com/images/M/MV5BOWJjNDVjNDQtODg3Ny00MmU2LTkwNjMtNjAwMzlmMWUyMmNlXkEyXkFqcGc@._V1_.jpg,6.7,14664
589,tt9614460,Chhapaak,2020,"Biography, Drama","The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.",Meghna Gulzar,"Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi, Payal Nair",https://m.media-amazon.com/images/M/MV5BMzQxZWIxZTItYjcwZi00N2YyLTgzNjAtZDliYTc4MzQ3ZWIzXkEyXkFqcGc@._V1_.jpg,5.4,27864
590,tt1499201,Anjaana Anjaani,2010,"Comedy, Drama, Musical","After numerous attempts at suicide fail, a couple decides to live it up, then kill themselves on New Year's Day.",Siddharth Anand,"Priyanka Chopra Jonas, Ranbir Kapoor, Aubrey K. Miller, Carl Marino",https://m.media-amazon.com/images/M/MV5BYWNkY2VjY2YtMGQ3Yy00ODM5LTgwODEtMjgyNzk1MmY5YWNmXkEyXkFqcGc@._V1_.jpg,5.7,7653
591,tt1734110,No One Killed Jessica,2011,"Biography, Crime, Drama","A journalist, who is more of an activist teams up with the sister of a murdered model, as she gets interested in the case and wants to bring justice to her case.",Raj Kumar Gupta,"Rani Mukerji, Vidya Balan, Myra Karn, Neil Bhoopalam",https://m.media-amazon.com/images/M/MV5BMTU4Mzk0NDY3OV5BMl5BanBnXkFtZTcwMjE1MTkyNA@@._V1_.jpg,7.2,12611
592,tt4699202,Gurgaon,2017,"Crime, Thriller",Based on true event this story revolves around kidnapping of Preeto which family has come to know from midnight call. The tales revolves as to how they family will be able to track Preeto..,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Aamir Bashir, Ragini Khanna",https://m.media-amazon.com/images/M/MV5BODBkYThiOGMtODFmYy00MWY4LTk5MWEtM2RlOWMzY2I4YjQ1XkEyXkFqcGc@._V1_.jpg,6.4,2552
593,tt11948256,Lift,2021,"Drama, Horror, Mystery",A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.,Vineeth,"Kavin, Amritha Aiyer, Kiran Konda, Gayathri Reddy",https://m.media-amazon.com/images/M/MV5BMDNhODVkODAtODMxYi00M2QyLWEyMGYtODBiYzA5ZjUyN2VkXkEyXkFqcGc@._V1_.jpg,6.5,3776
594,tt2385104,D-Day,2013,"Action, Thriller",A team of experts dispatched to bring in The Most Wanted Man in India almost achieve the unthinkable ... until something goes horribly wrong.,Nikkhil Advani,"Irrfan Khan, Rishi Kapoor, Arjun Rampal, Shruti Haasan",https://m.media-amazon.com/images/M/MV5BMTk4MDQzMjU3M15BMl5BanBnXkFtZTcwMDY1NzA4OQ@@._V1_.jpg,7.2,10394
595,tt13022984,Khuda Haafiz Chapter II: Agni Pariksha,2022,"Action, Crime, Drama","Sameer and Nargis, after overcoming all odds, find a ray of sunshine when little Nandini enters their lives and their family is complete; But their happiness is short-lived. In a bizarre twist of fate, Nandini goes missing.",Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Dibyendu Bhattacharya, Sheeba Chaddha",https://m.media-amazon.com/images/M/MV5BYTBhM2U3ZGMtMjdkYy00NDE3LWI0MmQtNjAxNWJiNmY5YWQxXkEyXkFqcGc@._V1_.jpg,7.4,14930
596,tt23875550,UI,, ,Add a Plot,Upendra,"Sunny Leone, Upendra, Murli Sharma, P. Ravi Shankar",https://m.media-amazon.com/images/M/MV5BYzM1YjUwNjEtN2M2Yi00YTY4LWJmMDYtNWU2YWNiZmI0ZWYzXkEyXkFqcGc@._V1_.jpg,6.9,5628
597,tt0093578,Mr. India,1987,"Action, Comedy, Drama","A poor but big-hearted man takes orphans into his home. After discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of India from the clutches of a megalomaniac.",Shekhar Kapur,"Anil Kapoor, Sridevi, Amrish Puri, Satish Kaushik",https://m.media-amazon.com/images/M/MV5BN2RiZjk1NDUtNDYwZC00Y2IzLWI1Y2ItZTFlMjg0NDQwZTRlXkEyXkFqcGc@._V1_.jpg,7.7,16802
598,tt8130904,The Body,2019,"Mystery, Thriller","When the body of a powerful businesswoman disappears from the morgue, the inspector in charge hunts for the truth. But when he questions her husband he realizes that there is much more to the case than meets the eye.",Jeethu Joseph,"Emraan Hashmi, Rishi Kapoor, Sobhita Dhulipala, Vedhika",https://m.media-amazon.com/images/M/MV5BNTFkNzU3MjEtZjFlMC00OTM3LWE2ZjUtZjViMzk5YjQxYWQ3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,5.4,4005
599,tt7180544,Mukkabaaz,2017,"Action, Drama, Sport",A boxer struggles to make his mark in the boxing world.,Anurag Kashyap,"Vineet Kumar Singh, Jimmy Shergill, Zoya Hussain, Ravi Kishan",https://m.media-amazon.com/images/M/MV5BNmJlNjBmZDYtN2UxNy00NzVlLThhZmItNzdiOWI5YTUyOTY0XkEyXkFqcGc@._V1_.jpg,8,8959
600,tt0052954,Kaagaz Ke Phool,1959,"Drama, Romance","Suresh Sinha, a famous director, discovers star potential in Shanti, a woman he stumbled into one rainy evening, and casts her as the lead in a film. In a twist of fate, Shanti becomes a superstar and Suresh faces a decline in his career.",Guru Dutt,"Waheeda Rehman, Guru Dutt, Kumari Naaz, Johnny Walker",https://m.media-amazon.com/images/M/MV5BZmRjZDliOTQtNGFkYS00ZWY4LTk0YzItZDE5ODZiMDc4NGZlXkEyXkFqcGc@._V1_.jpg,7.8,2921
601,tt0093949,Shahenshah,1988,"Action, Adventure","Vijay who is a corrupt officer by day, turns a vigilante by night in order to make the city crime free.",Tinnu Anand,"Amitabh Bachchan, Meenakshi Sheshadri, Aruna Irani, Rohini Hattangadi",https://m.media-amazon.com/images/M/MV5BNjQ3MjRkZmItZjg0Mi00ZTM3LWI4ZDItZDkxNjNjZGY3ODhkXkEyXkFqcGc@._V1_.jpg,6.3,2579
602,tt2302416,Gali Guleiyan,2017,"Drama, Thriller",The film is a psychological drama about a man who is trapped within the city walls and in his own mind. He attempts to break free to find a human connection.,Dipesh Jain,"Manoj Bajpayee, Ranvir Shorey, Neeraj Kabi, Shahana Goswami",https://m.media-amazon.com/images/M/MV5BNWIyMTQ5NGMtZWY2ZC00ZDdlLTg1NjItNTUwYTI4ZWE5N2NlXkEyXkFqcGc@._V1_.jpg,7,1389
603,tt0419058,Phir Hera Pheri,2006,"Comedy, Crime","Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game.",Neeraj Vora,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Bipasha Basu",https://m.media-amazon.com/images/M/MV5BMTNkZTExMWYtMGZjMy00NGUwLWJmMWEtOThjYmZjY2Q0N2M5XkEyXkFqcGc@._V1_.jpg,7.3,29180
604,tt21998526,Zwigato,2022,Drama,"A man works as a food delivery rider, grappling with the world of ratings and incentives. To support the income, his homemaker wife begins to explore different work opportunities, with fear but also excitement of a new found independence.",Nandita Das,"Kapil Sharma, Shahana Goswami, Tushar Acharya, Zishan Ali",https://m.media-amazon.com/images/M/MV5BNjZkMDhjMjYtYWYzMS00MTcwLTgwYzMtYjliMDZkMmQ2MDI2XkEyXkFqcGc@._V1_.jpg,6.7,10308
605,tt5764096,Hindi Medium,2017,"Comedy, Drama",A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Dishita Sehgal, Deepak Dobriyal",https://m.media-amazon.com/images/M/MV5BNGY5OGY1NDgtN2IyMC00NmMzLWI5NzEtN2JlODE2N2Y1NWRlXkEyXkFqcGc@._V1_.jpg,7.8,32039
606,tt1301698,1920,2008,"Horror, Mystery, Romance","After forsaking his family and religion, a husband finds his wife is demoniacally possessed.",Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Anjori Alagh, Raj Zutshi",https://m.media-amazon.com/images/M/MV5BOTAwYzdiMDQtOWI0OC00NjkzLWEzYTYtMzQ5NjFlYjczYmE4XkEyXkFqcGc@._V1_.jpg,6.4,4280
607,tt10023024,Love Aaj Kal,2020,"Drama, Romance","When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone era may offer some wisdom.",Imtiaz Ali,"Kartik Aaryan, Sara Ali Khan, Randeep Hooda, Sonu Saini",https://m.media-amazon.com/images/M/MV5BMjNhYzc0YmItOGZjOS00NWJlLWE3ZTEtNGI3MzAxNGYwZWExXkEyXkFqcGdeQXVyMTA5NzIyMDY5._V1_.jpg,4.7,10661
